"Date","Site","ER","NEP","Temp.C","SpCond.uS","pH","Chl.ug.L","Chl.RFU","ODOsat..","ODO.mg.L","Turbid..NTU","SampleCode","Project","Event","Location","TimeStart","TimeEnd","TotalDepth","DeepSampleDepth","TowTime1","TowTime2","TowAngle1","TowAngle2","SecchiDepth","HachTurbidity","EC_min","EC_max","SUNA_NO3_uM","GPS.waypoint.1","GPS.waypoint.2","Notes","ChlA_a_VolumeFiltered_mL","ChlA_b_VolumeFiltered_mL","CHN_VolumeFiltered_mL","Sterivex_VolumeFiltered_mL","X__1","TowDepth1","TowDepth2","TowVolume1","TowVolume2","DateTime_start","DateTime_end","TIMESTAMP","EXOTemp","EXOSpCond","EXOpH","EXOpHmV","EXODOmgL","EXOODO","EXOTurbFNU","EXOChlugL","EXOBGAPCugL","TIMESTAMP_round","NO3_uM","LinearDist","LinearDist_km","SampleLabel","DOC.ppm","NH4.ppm","NO3.ppm","TN.ppm","TDN.ppm","TP.ppm","PO4","DIN.ppm","DON.ppm","TPN.ppm","TSS","VSS","Vg","R.28.40","Area.32","d.34O2.32O2","d.33O2.32O2","Area.40","d.32O2.40Ar","Area.28","d.15N.14N","Area.44","d.13C.12C","d.33O2.32O2_corr","d.32O2.40Ar_corr","d.15N.14N_corr","d.13C.12C_corr","d180_02.vs.air","d180_02.vs.VSMOW","d170_02.vs.air","d15N_N2.vs.air","O2.Ar","d13C.CO2","d13C.TotalDIC","wind.ms","sd.wind.ms","wind.height.ms","zmix.m","delo18.h2o","lake.area.km2","gppv","gppa","rv","ra","nepv","nepa","gpptor","a","b","c","d","g"
2018-09-26,"EC2",-0.03975,0.16525,22.94,854,8.39,3.2,0.8,97.6,8.36,15.8,"SSCN_01_02","SSCN",1,2,1305,1327,34,28,42,30,0,0,0.5,NA,844,850,NA,352,354,NA,500,500,500,NA,NA,28,28,622.7189559722,622.7189559722,"2018-09-26 13:05:00","2018-09-26 13:27:00","2018-09-26 13:16:05",22.95,847.84,8.44,-104.01,NA,NA,12.23,2.95,-1.05,"2018-09-26 13:16:05",NA,13115.4753366177,13.1154753366177,"SSCN_01_02_S",3.388045642176,0.0272472,0.0098868,0.3016208,0.1355175885,0.1760562,0.100848162,0.037134,0.0983835885,0.1661032115,13.91,2.13999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.5044345898004,-6.1,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198900425760581,NA
2018-09-26,"EC3",-0.01425,0.181,22.785,863.5,8.335,3.9,0.95,97.1,8.345,12.95,"SSCN_01_03","SSCN",1,3,1234,1257,35.9,30,40,42,0,0,0.5,14.5,850,855,NA,350,351,NA,500,500,500,NA,NA,29.9,29.9,664.974885127457,664.974885127457,"2018-09-26 12:34:00","2018-09-26 12:57:00","2018-09-26 12:45:33",22.78,854.64,8.45,-104.29,NA,NA,11.71,2.63,-1.06,"2018-09-26 12:45:32",NA,12735.9753366178,12.7359753366178,"SSCN_01_03_S",3.453190237244,0.0289064,0.0074151,0.4362188,0.1111288365,0.2074452,0.10703005,0.0363215,0.0748073365,0.3250899635,11.41,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.4462305986696,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-26,"EC4",-0.025,0.178,22.25,867,8.365,3.2,0.75,95.3,8.275,12.95,"SSCN_01_04","SSCN",1,4,1215,1231,34.4,28,43,30,0,45,0.5,13,861,865,NA,348,349,NA,500,500,500,NA,NA,28.4,40.1636651713959,631.614941057517,893.238415841024,"2018-09-26 12:15:00","2018-09-26 12:31:00","2018-09-26 12:23:06",22.54,862.105,8.46,-104.77,NA,NA,11.5,2.53,-1.06,"2018-09-26 12:23:05",NA,12358.4753366178,12.3584753366178,"SSCN_01_04_S",3.574821140336,0.0305656,0.0074151,0.3868662,0.133981944,0.1572228,0.10703005,0.0379807,0.096001244,0.252884256,11.8,1.84999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.9312638580931,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-26,"EC5",-0.02775,0.1435,21.925,873.5,8.18,2.6,0.6,92.8,8.105,13.6,"SSCN_01_05","SSCN",1,5,1138,1159,37.7,31,47,39,45,0,0.5,12.9,868,872,NA,346,347,NA,500,500,500,NA,NA,44.8305699272271,31.7,997.030203597199,705.006818011384,"2018-09-26 11:38:00","2018-09-26 11:59:00","2018-09-26 11:48:34",22.2,869.94,8.45,-104.42,NA,NA,11.01,2.03,-1.07,"2018-09-26 11:48:35",NA,11978.9753366178,11.9789753366178,"SSCN_01_05_S",3.564282019196,0.0355432,0.0074151,0.2926476,0.106599066,0.1948896,0.1054836345,0.0429583,0.063640766,0.186048534,12.17,1.94999999999999,5.322,0.0383412900181963,9.72033333333331,-3.17533333333333,-1.25016666666667,1.038,-106.356166666667,27.0058333333333,19.4805,73.685,1.34333333333334,-1.40882218531172,-85.1787728931778,14.67438938781,0.844312855694038,-1.03477979596567,22.7405924448902,-0.606746637409894,2.03577478764916,19.8615500692448,-10.1154899994471,-10.6942546045809,2.83166666666667,0.574224114203969,10,9.91407982261641,-6.01,0.153,0.293868777901703,2.91343852149222,0.396714812755798,3.93306232047531,-0.102846034854095,-1.01962379898309,0.740755748090997,0.00204457099882103,0.00204087177885681,0.00201590323122138,0.00198918400838415,0.00209224983391539
2018-09-26,"EC6",-0.02075,0.1445,23.41,884,8.35,3.3,0.8,99.7,8.46,11.8,"SSCN_01_06","SSCN",1,6,1359,1420,32,26,35,44,30,60,0.6,11.6,873,875,NA,357,358,NA,500,500,500,NA,NA,30.0222139978605,52,667.692919882917,1156.47806109123,"2018-09-26 13:59:00","2018-09-26 14:20:00","2018-09-26 14:09:35",24.09,873.375,8.49,-106.61,NA,NA,10.19,2.98,-1.06,"2018-09-26 14:09:35",NA,12229.9753366175,12.2299753366175,"SSCN_01_06_S",3.5402322975,0.0230992,0.0041195,0.333027,0.1401336,0.1697784,0.1054836345,0.0272187,0.1129149,0.1928934,10.33,1.78999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.6984478935698,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-26,"EC7",-0.0385,0.185,23.75,882,8.53,4.3,1,101.2,8.54,11.5,"SSCN_01_07","SSCN",1,7,1425,1442,32,26,40,48,0,60,0.6,12.8,876,880,NA,359,360,NA,500,500,500,NA,NA,26,52,578.239030545614,1156.47806109123,"2018-09-26 14:25:00","2018-09-26 14:42:00","2018-09-26 14:33:21",24.215,876.4,8.5,-107.345,NA,NA,10.23,3.07,-1.07,"2018-09-26 14:33:20",NA,11791.4753366181,11.7914753366181,"SSCN_01_07_S",3.534531199856,0.0247584,0,0.3734064,0.15561865,0.1886118,0.1054836345,0.0247584,0.13086025,0.21778775,12.7631578947369,2.51315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.4212860310421,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-26,"EC8",-0.0355,0.15125,22.91,885,8.47,3.1,0.7,100.6,8.62,9.2,"SSCN_01_08","SSCN",1,8,1450,1506,32.5,26,42,37,0,0,0.6,11,877,880,NA,361,362,"Changing water level made it difficult to sample this site. Should move this site to a slightly greater conductivity next trip. Same observed cond as site EC07",500,500,500,NA,NA,26.5,26.5,589.359011902261,589.359011902261,"2018-09-26 14:50:00","2018-09-26 15:06:00","2018-09-26 14:58:00",24.02,881.38,8.5,-107.345,NA,NA,10.96,3.14,-1.05,"2018-09-26 14:58:00",NA,11198.5123996261,11.1985123996261,"SSCN_01_08_S",3.504848056176,0.0206104,0.0041195,0.3375136,0.158733816,0.182334,0.10703005,0.0247299,0.134003916,0.178779784,7.91,1.48999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.6014412416851,-5.95,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.0019893038422004,NA
2018-09-26,"NL70",-0.0165,0.1305,21.38,768,7.93,3.2,0.8,90.7,8.01,22.8,"SSCN_01_01","SSCN",1,1,1015,1055,35,28,39,34,0,0,0.5,21,763,NA,NA,NA,NA,NA,500,500,500,NA,NA,29,29,644.958918685493,644.958918685493,"2018-09-26 10:15:00","2018-09-26 10:55:00","2018-09-26 10:34:09",21.5,761.73,8.33,-98.01,NA,NA,18.44,2.29,-1.06,"2018-09-26 10:34:10",NA,14904.6651854491,14.9046651854491,"SSCN_01_01_S",3.314708042684,0.0372024,0.0230692,0.4182724,0.1571754765,0.2074452,0.1023926905,0.0602716,0.0969038765,0.2610969235,21.0625,2.89999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.2272727272727,-6.73,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198774600034443,NA
2018-09-26,"NL76",-0.029,0.10975,23.465,994,8.495,2.7,0.65,104.75,8.88,4.1,"SSCN_01_09","SSCN",1,9,1520,1540,34.6,28,40,40,0,0,1.1,3.9,984,993,NA,NA,NA,NA,500,500,500,NA,NA,28.6,28.6,636.062933600176,636.062933600176,"2018-09-26 15:20:00","2018-09-26 15:40:00","2018-09-26 15:29:57",24.02,986.11,8.63,-114.51,NA,NA,4.41,2.61,-1.07,"2018-09-26 15:29:55",NA,7335.54958283604,7.33554958283604,"SSCN_01_09_S",3.7095280591,0.0197808,0,0.2298352,0.1478572125,0.1572228,0.10703005,0.0197808,0.1280764125,0.0819779875,3.85000000000002,1.35000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.9368070953437,-5.83,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198954350974658,NA
2018-09-28,"EC2",-0.01375,0.084,21.46,852,8.27,2.3,0.5,89.6,7.9,11.8,"SSCN_02_02","SSCN",2,2,1214,1231,34,28,42,40,0,0,0.5,12.5,846,848,NA,388,389,NA,500,500,500,NA,NA,28,28,622.7189559722,622.7189559722,"2018-09-28 12:14:00","2018-09-28 12:31:00","2018-09-28 12:22:20",21.58,847.505,8.35,-98.71,7.93,90.115,9.96,1.94,-1.07,"2018-09-28 12:22:20",NA,11783.4753366175,11.7834753366175,"SSCN_02_02_S",3.3749011824,0.0247584,0.0115346,0.3868662,0.1171897125,0.182334,0.110124768,0.036293,0.0808967125,0.2696764875,11.4444444444445,1.88888888888891,5.806,0.0391069186413395,16.9803333333333,-2.53333333333333,-0.894499999999999,1.81,-121.1135,46.638,18.6105,134.5245,0.779666666666669,-0.797033577183741,-134.27265533028,17.0046233447957,0.691004525561861,-0.391401183039208,23.3992834688045,0.00553336368647199,4.33698373994523,18.795679956893,-10.2671195179472,-10.802825170445,5.32833333333333,4.23452870262245,10,10.5044345898004,-6.1,0.153,0.354038769658191,3.71897709812788,0.562251645781898,5.90613563612357,-0.208212876123707,-2.18715853799569,0.629680272728851,0.00204457099882103,0.00204218350042907,0.00201719890485623,0.00198900425760581,0.00206514021573634
2018-09-28,"EC3",-0.02475,0.084,21.45,857,8.24,1.8,0.4,91.5,8.07,12.1,"SSCN_02_03","SSCN",2,3,1145,1205,33,27,47,27,60,0,0.55,11.8,852,854,NA,387,NA,NA,500,500,500,NA,NA,54,27,1200.95798651781,600.478993258907,"2018-09-28 11:45:00","2018-09-28 12:05:00","2018-09-28 11:55:10",21.51,852.61,8.36,-99.09,8,90.93,9.72,1.94,-1.07,"2018-09-28 11:55:10",NA,11271.5992759416,11.2715992759416,"SSCN_02_03_S",3.483125907904,0.0222696,0.0098868,0.2836744,0.161855034,0.150945,0.1085770945,0.0321564,0.129698634,0.121819366,10.49,1.81999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32833333333333,4.23452870262245,10,10.4462305986696,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-28,"EC4",-0.034,0.07175,21.43,868,8.285,2.2,0.5,90.8,8.005,10.65,"SSCN_02_04","SSCN",2,4,1122,1134,38,32,54,43,0,0,0.6,11.1,862,863,NA,385,386,NA,500,500,500,NA,NA,32,32,711.678806825372,711.678806825372,"2018-09-28 11:22:00","2018-09-28 11:34:00","2018-09-28 11:27:57",21.45,862.625,8.37,-99.58,8.06,91.44,9.29,1.99,-1.06,"2018-09-28 11:27:57",NA,10640.2737541816,10.6402737541816,"SSCN_02_04_S",3.512035455344,0.0230992,0.0090629,0.310594,0.1634179125,0.1446672,0.110124768,0.0321621,0.1312558125,0.1471760875,4.1263157894737,0.74736842105264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32833333333333,4.23452870262245,10,10.9312638580931,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-28,"EC5",-0.01975,0.09775,21.39,880,8.29,2.7,0.6,89.6,7.9,11,"SSCN_02_05","SSCN",2,5,931,947,31,25,55,43,66,20,0.6,11.2,870,872,NA,377,378,NA,500,500,500,NA,NA,61.464833389356,26.6044443118978,1366.97560275803,591.681849504484,"2018-09-28 09:31:00","2018-09-28 09:47:00","2018-09-28 09:39:00",21.4,871.785,8.36,-99.45,8.5,96.32,9.36,1.93,-1.07,"2018-09-28 09:39:00",NA,9719.03532506181,9.71903532506181,"SSCN_02_05_S",3.549446959036,0.0230992,0.008239,0.5035178,0.1202292285,0.1697784,0.1116730705,0.0313382,0.0888910285,0.3832885715,10.15,1.76000000000002,5.546,0.0407143073861466,8.6655,-2.7345,-0.976166666666668,0.9835,-156.6265,24.2708333333333,23.1928333333333,72.331,1.07333333333334,-1.17203512763286,-128.466325084099,17.9408911417274,0.565180216739614,-0.592999829405307,23.1928867746548,-0.369769390679453,5.26158954168743,18.9217403449623,-10.3915659804836,-10.9503215005855,5.32833333333333,4.23452870262245,10,9.91407982261641,-6.01,0.153,0.412255277668448,4.08713173009989,0.631609101359465,6.26182304756876,-0.219353823691017,-2.17469131746887,0.652706360280621,0.00204457099882103,0.00204177248108724,0.00201679291403021,0.00198918400838415,0.00206868130545061
2018-09-28,"EC6",-0.0075,0.11375,21.395,879,8.26,1.9,0.45,89.4,7.89,11.2,"SSCN_02_06","SSCN",2,6,1000,1021,33,27,48,45,60,60,0.6,11.3,874,875,NA,379,380,NA,500,500,500,NA,NA,54,54,1200.95798651781,1200.95798651781,"2018-09-28 10:00:00","2018-09-28 10:21:00","2018-09-28 10:10:32",21.43,873.59,8.37,-99.61,8.39,95.17,9.31,1.77,-1.07,"2018-09-28 10:10:30",NA,9864.77375418211,9.86477375418211,"SSCN_02_06_S",3.484063669504,0.0264176,0.008239,0.2926476,0.1759754085,0.1697784,0.110124768,0.0346566,0.1413188085,0.1166721915,10.4,1.76999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32833333333333,4.23452870262245,10,10.6984478935698,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-28,"EC7",-0.0155,0.1075,21.39,882,8.29,2.4,0.6,90.9,8.02,10.5,"SSCN_02_07","SSCN",2,7,1026,1040,24,18,39,37,0,10,0.7,10.5,879,880,NA,381,382,NA,500,500,500,NA,NA,18,18.2776790139434,400.319328839272,406.494899755637,"2018-09-28 10:26:00","2018-09-28 10:40:00","2018-09-28 10:33:01",21.42,879.525,8.37,-100.08,8.31,94.21,8.76,1.88,-1.07,"2018-09-28 10:33:00",NA,9844.77375418231,9.84477375418231,"SSCN_02_07_S",3.5449178439,0.0247584,0.008239,0.2702146,0.115672224,0.1572228,0.1116730705,0.0329974,0.082674824,0.154542376,9.66000000000003,1.65000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32833333333333,4.23452870262245,10,10.4212860310421,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-28,"EC8",-0.006,0.08775,21.41,893,8.28,2,0.5,91.6,8.08,9.9,"SSCN_02_08","SSCN",2,8,1045,1102,36,30,46,46,0,0,0.7,10.3,888,889,NA,383,384,NA,500,500,500,NA,NA,30,30,667.198881398786,667.198881398786,"2018-09-28 10:45:00","2018-09-28 11:02:00","2018-09-28 10:53:22",21.46,888.875,8.39,-100.64,8.21,93.12,8.45,1.87,-1.07,"2018-09-28 10:53:22",NA,9686.53532506139,9.68653532506139,"SSCN_02_08_S",3.492112363484,0.0239288,0.0074151,0.3240538,0.1416752965,0.1635006,0.110124768,0.0313439,0.1103313965,0.1823785035,10.3,1.83333333333334,5.684,0.0410300594758227,8.22616666666667,-2.87516666666667,-1.02233333333334,0.943333333333335,-166.7775,23.9501666666667,21.152,72.4443333333333,1.265,-1.23370081720339,-135.315701315743,15.8477860254084,0.757611309118861,-0.733968559755771,23.048562988522,-0.431484610571131,3.1945557928528,18.77303453782,-10.2012421157807,-10.7477390685996,5.32833333333333,4.23452870262245,10,10.6014412416851,-5.95,0.153,0.376730239785109,3.99388350104777,0.542805008929516,5.75451540785862,-0.166074769144407,-1.76063190681085,0.694043410778519,0.00204457099882103,0.00204148507382297,0.00201650902297997,0.0019893038422004,0.00207822227618082
2018-09-28,"NL70",-0.0125,0.1225,21.04,681,8.45,2.2,0.5,92.1,8.19,22.6,"SSCN_02_01","SSCN",2,1,840,902,37,31,40,46,0,0,0.5,21.8,676,NA,NA,NA,NA,"Bad SUNA data",500,500,500,NA,NA,31,31,689.438844112079,689.438844112079,"2018-09-28 08:40:00","2018-09-28 09:02:00","2018-09-28 08:52:03",21.07,677.79,8.19,-90.3,8.57,96.47,17.23,1.95,-1.07,"2018-09-28 08:52:05",NA,14893.6651854484,14.8936651854484,"SSCN_02_01_S",3.177019859184,0.0280768,0.041195,0.3913528,0.158733816,0.1572228,0.103937848,0.0692718,0.089462016,0.232618984,17,2.74285714285713,5.734,0.0441706007280622,7.47666666666666,-2.00933333333333,-0.7985,0.861166666666665,-172.711833333333,20.0965,23.5573333333334,63.6015,1.35433333333334,-1.03630872286803,-135.921765480465,17.624934241176,0.787300326228058,0.133724039972527,23.9369066721239,-0.233933969499389,4.94956814747965,18.7598763672439,-10.1718782099504,-10.7140132665068,5.32833333333333,4.23452870262245,10,10.2272727272727,-6.73,0.153,0.220146979470417,2.25150319912926,0.381348413427078,3.90015422823146,-0.161201433956661,-1.64865102910221,0.577285683430579,0.00204457099882103,0.00204325412419607,0.00201825643033808,0.00198774600034443,0.00205992342324615
2018-09-28,"NL76",-0.01625,0.135,21.84,978,8.42,2.8,0.7,92,8.05,6.5,"SSCN_02_09","SSCN",2,9,1316,1331,36,30,44,38,0,0,1.1,7.25,970,973,NA,390,NA,NA,500,500,500,NA,NA,30,30,667.198881398786,667.198881398786,"2018-09-28 13:16:00","2018-09-28 13:31:00","2018-09-28 13:23:25",21.85,972.49,8.48,-105.86,7.8,89.21,5.94,2.16,-1.06,"2018-09-28 13:23:25",NA,7350.04958283585,7.35004958283585,"SSCN_02_09_S",3.7196594375,0.0189512,0.0032956,0.2388084,0.12479985,0.1572228,0.1116730705,0.0222468,0.10255305,0.11400855,6.94999999999999,1.44,5.189,0.0397077729878916,9.27216666666667,-3.40766666666666,-1.46833333333333,1.01716666666667,-127.8735,25.6225,24.5151666666667,82.4471666666667,1.15916666666666,-1.64279950167053,-103.922991920864,19.4835592775631,0.719246414009024,-1.26761203543085,22.5022187981259,-0.840911886016038,6.78504246106682,19.4545970671762,-10.2391868939138,-10.829752697312,5.32833333333333,4.23452870262245,10,10.9368070953437,-5.83,0.153,0.458737831253932,5.01712716776058,0.612712495101143,6.70111836382792,-0.153974663847211,-1.68399119606734,0.748699977431023,0.00204457099882103,0.00204039707918023,0.00201543433914213,0.00198954350974658,0.00209257107469015
